0
SMET 1.1 ASCII
[HEADER]
station_id       = ceshi
station_name     = ceshi
latitude         = 80.230000
longitude        = 28.300000
altitude         = 1200.0
nodata           = -999
tz               = 8
units_offset     = 0 0 0 0 273.15 0 0 0 0 0 0 0 0 0 0 0 0 0 273.15 273.15 273.15 273.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 273.15 273.15 273.15 273.15 273.15 0 0 0 0 0 0 0 0 0 0 0 0 
units_multiplier = 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0.01 1 1 1 1 0.01 0.01 0.001 0.01 0.01 0.01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
slope_angle      = 25
slope_azi        = 0
plot_unit        = - W/m2 W/m2 W/m2 K W/m2 W/m2 W/m2 W/m2 W/m2 W/m2 W/m2 W/m2 - - W/m2 W/m2 W/m2 K K K K - m/s m/s ° kg/m2/h m m m m m m kg/m2 kg/m2 kg/m2 kg/m2/h kg/m2/h kg/m2/h kg/m2 kg/m2 K K K K K - - m - m - m - m - m - 
plot_description = timestamp  sensible_heat  latent_heat  ground_heat  ground_temperature  ground_heat_at_soil_interface  rain_energy outgoing_long_wave_radiation  incoming_long_wave_radiation  net_long_wave_radiation reflected_short_wave_radiation  incoming_short_wave_radiation  net_short_wave_radiation  parametrized_albedo  measured_albedo  incoming_short_wave_on_horizontal  direct_incoming_short_wave  diffuse_incoming_short_wave air_temperature  surface_temperature(mod)  surface_temperature(meas)  bottom_temperature  relative_humidity  wind_velocity  wind_velocity_drift  wind_direction  solid_precipitation_rate  snow_height(mod)  snow_height(meas) hoar_size  24h_wind_drift  24h_height_of_new_snow  3d_sum_of_daily_height_of_new_snow snow_water_equivalent  total_amount_of_water  erosion_mass_loss  rain_rate  virtual_lysimeter  virtual_lysimeter_under_the_soil  sublimation_mass  evaporated_mass temperature@0.25m temperature@0.5m temperature@1m temperature@-0.25m temperature@-0.1m profile_type  stability_class  z_Sdef  deformation_rate_stability_index  z_Sn38  natural_stability_index  z_Sk38  Sk38_skier_stability_index  z_SSI  structural_stability_index  z_S5 stability_index_5 
plot_color       = 0x000000 0x669933 0x66CC99 0xCC6600 0xDE22E2 0xFFCC00 0x6600FF 0x8F6216 0xD99521 0xD9954E 0x7D643A 0xF9CA25 0xF9CA9D 0xCC9966 0x996633 0xF9CA25 0x90ca25 0x90CAB8 0x8324A4 0xFAA6D0 0xFA72B7 0xDE22E2 0x50CBDB 0x297E24 0x297E24 0x64DD78 0x2431A4 0x818181 0x000000 0x9933FF 0x99FFCC 0x006699 0x33CCCC 0x3300FF 0x0000FF 0x99CCCC 0x3333 0x0066CC 0x003366 0xCCFFFF 0xCCCCFF 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 0xFF0000 
fields           = timestamp Qs Ql Qg TSG Qg0 Qr OLWR ILWR LWR_net OSWR ISWR Qw pAlbedo mAlbedo ISWR_h ISWR_dir ISWR_diff TA TSS_mod TSS_meas T_bottom RH VW VW_drift DW MS_Snow HS_mod HS_meas hoar_size wind_trans24 HN24 HN72_24 SWE MS_Water MS_Wind MS_Rain MS_SN_Runoff MS_Soil_Runoff MS_Sublimation MS_Evap TS0 TS1 TS2 TS3 TS4 Sclass1 Sclass2 zSd Sd zSn Sn zSs Ss zS4 S4 zS5 S5 
date_created     = 2024-11-18
creator_name     = win
source           = MeteoIO-2.90
"history          = 2024-11-18T14:39:05Z, win@DESKTOP-1R2J9EE, Snowpack-3.60"
keywords_vocabulary = AGU Index Terms
"keywords         = Cryosphere, Mass Balance, Energy Balance, Atmosphere, Land/atmosphere interactions, Climatology"
product_version  = 1.0
[DATA]
2024-01-02T00:00:00  188.902   27.809     -999  -19.320     -999    0.000  230.685  160.555  -73.338    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -11.230  -19.320     -999  -19.320   71.300    1.400    1.400  317.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T03:00:00  113.556   11.336     -999   -8.990  -83.250    0.000  248.688  167.554  -84.482   80.515  402.573  322.059    0.200     -999  402.573    0.000  402.573   -8.400   -8.990     -999   -8.990   76.400    1.100    1.100  324.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T06:00:00   -6.247  -71.614     -999   -3.050  -83.250    0.000  289.055  189.099 -103.734  240.605 1203.025  962.420    0.200     -999 1203.025    0.000 1203.025   -3.220   -3.050     -999   -3.050   61.700    0.500    0.500  211.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T09:00:00    4.667  -53.266     -999   -5.910  -83.250    0.000  292.737  196.548 -100.116  265.697 1328.487 1062.790    0.200     -999 1332.081    0.000 1332.081   -2.320   -5.910     -999   -5.910   57.100    0.200    0.200  177.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T12:00:00    5.997    1.027     -999  -13.850  -83.250    0.000  260.957  186.665  -78.021   95.257  476.283  381.026    0.200     -999  476.283    0.000  476.283   -7.600  -13.850     -999  -13.850   80.900    0.600    0.600  330.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T15:00:00   42.238    9.497     -999  -15.320  -83.250    0.000  247.975  176.650  -74.854    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -10.430  -15.320     -999  -15.320   81.500    1.000    1.000  329.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T18:00:00   98.857   13.292     -999  -16.710  -83.250    0.000  243.533  159.842  -86.885    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -13.680  -16.710     -999  -16.710   85.500    1.300    1.300  325.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-02T21:00:00   89.164  -10.703     -999  -16.170  -83.250    0.000  239.534  146.618  -95.846    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -15.800  -16.170     -999  -16.170   77.900    1.600    1.600  324.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T00:00:00  145.362    3.869     -999  -16.960  -83.250    0.000  240.692  152.656  -91.086    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -13.350  -16.960     -999  -16.960   78.400    1.700    1.700  324.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T03:00:00  103.062   -0.611     -999   -8.610  -83.250    0.000  253.880  163.388  -93.756   83.182  405.648  322.466    0.208     -999  405.648    0.000  405.648   -9.030   -8.610     -999   -8.610   76.600    1.200    1.200  321.000    0.192    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.613     -999   -0.022    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T06:00:00  -12.246  -67.649     -999   -3.600  -83.250    0.000  284.251  185.581 -102.377  240.939 1204.696  963.757    0.200     -999 1204.696    0.000 1204.696   -3.740   -3.600     -999   -3.600   66.600    0.400    0.400  272.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T09:00:00  -29.824  -25.628     -999   -7.350  -83.250    0.000  294.532  198.706  -99.795  279.865 1288.984 1009.119    0.224     -999 1288.984    0.000 1288.984   -3.330   -7.350     -999   -7.350   75.600    0.000    0.000  195.000    0.320    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.862     -999    0.000   -0.199     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T12:00:00   22.042    5.401     -999  -13.250  -83.250    0.000  260.981  187.117  -77.602  109.347  478.400  369.053    0.204     -999  478.400    0.000  478.400   -7.710  -13.250     -999  -13.250   84.800    0.800    0.800  329.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T15:00:00   84.907   20.738     -999  -12.300  -83.250    0.000  253.527  178.553  -78.541    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000   -9.230  -12.300     -999  -12.300   81.400    1.100    1.100  329.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-03T18:00:00   74.928    9.096     -999  -13.140    1.441    0.000  253.114  170.995  -85.535    0.000    0.000    0.000    0.300     -999    0.000    0.000    0.000  -10.170  -14.098     -999  -13.140   81.400    1.000    1.000  324.000    0.190    2.233    0.013    0.000    0.000    2.233    2.233    0.671    0.000   -0.000    0.000    0.000     -999    0.043    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    2.233    0.100    2.233    6.000    2.233    6.000    2.233    6.000    0.000    0.000
2024-01-03T21:00:00   73.153   11.314     -999  -12.660    1.264    0.000  250.759  168.488  -85.637    0.000    0.000    0.000    0.350     -999    0.000    0.000    0.000   -9.910  -13.022     -999  -12.660   80.400    1.100    1.100  324.000    0.188    2.316    0.004    0.000    0.000    2.316    2.316    1.337    0.000   -0.000    0.000    0.000     -999    0.045    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    2.316    6.000    2.316    6.000    2.316    6.000    2.316    6.000    0.000    0.000
2024-01-04T00:00:00   77.479    7.203     -999  -12.680    1.810    0.000  247.667  163.832  -87.108    0.000    0.000    0.000    0.500     -999    0.000    0.000    0.000  -11.410  -18.260     -999  -12.680   81.800    1.400    1.400  321.000    0.261    4.606    0.011    0.000    0.000    4.606    4.606    2.239    0.000   -0.000    0.000    0.000     -999    0.039    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    2.347    6.000    2.347    6.000    4.606    6.000    4.606    6.000    0.000    0.000
2024-01-04T03:00:00   37.810    7.107     -999   -7.117   -2.725    0.000  249.246  173.676  -79.039  284.841  324.709   39.868    0.884     -999  324.709    0.000  324.709   -7.410   -7.351     -999   -7.117   80.400    1.300    1.300  320.000    0.199    6.671   -0.025    0.000    0.000    6.671    6.671    2.911    0.004   -0.000    0.000    0.000     -999    0.015    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    2.300    3.364    2.300    6.000    6.671    6.000    6.671    6.000    0.000    0.002
2024-01-04T06:00:00  -17.462  -53.377     -999    0.000  -14.084    0.000  291.714  189.511 -105.989 1111.886 1320.959  209.073    0.840     -999 1384.755    0.000 1384.755   -4.020   -2.850     -999    0.000   72.400    0.200    0.200  312.000    0.271    6.531   -0.058    0.000    0.000    6.531    6.531    3.608    1.323   -0.000    0.000    0.000     -999   -0.192   -0.008     -999     -999     -999     -999     -999   -1.000   -1.000    4.567    0.100    4.567    6.000    6.531    6.000    6.531    6.000    0.000    0.675
2024-01-04T09:00:00  -57.893  -92.822     -999   -2.551   -5.874    0.000  302.439  193.650 -112.658 1125.233 1363.389  238.156    0.804     -999 1384.029    0.000 1384.029   -4.120    0.000     -999   -2.551   67.000    0.100    0.100  141.000    0.000    4.978   -0.071    0.000    0.000    4.978    4.978    3.201    0.000   -0.000    0.000    0.000     -999   -0.266   -0.141     -999     -999     -999     -999     -999   -1.000   -1.000    4.978    2.169    4.978    6.000    4.978    6.000    4.978    6.000    0.000    0.000
2024-01-04T12:00:00  -10.626  -20.935     -999  -13.020  -83.250    0.000  270.565  186.073  -88.209  154.238  492.576  338.338    0.217     -999  492.576    0.000  492.576   -7.320  -13.020     -999  -13.020   84.600    0.500    0.500  326.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    3.098     -999    0.000   -0.103     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-04T15:00:00   18.162    3.676     -999  -12.090  -83.250    0.000  255.843  177.543  -81.847    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -10.180  -12.090     -999  -12.090   83.400    0.800    0.800  326.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-04T18:00:00   31.301  -13.961     -999  -12.740  -83.250    0.000  257.184  163.725  -96.729    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -11.820  -12.740     -999  -12.740   80.600    1.000    1.000  325.000    0.000    0.000    0.000    0.000    0.000    0.000    2.233    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-04T21:00:00   74.066  -19.440     -999  -14.070  -83.250    0.000  253.636  161.246  -95.611    0.000    0.000    0.000    0.208     -999    0.000    0.000    0.000  -11.770  -14.070     -999  -14.070   77.800    1.400    1.400  318.000    0.189    0.000    0.000    0.000    0.000    0.000    2.316    0.000    0.000   -0.000    0.000    0.628     -999    0.002    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T00:00:00  104.497  -14.430     -999  -14.530  -83.250    0.000  250.352  158.290  -95.224    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -12.620  -14.530     -999  -14.530   76.000    1.800    1.800  321.000    0.000    0.000    0.000    0.000    0.000    0.000    4.606    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T03:00:00  123.598  -35.869     -999   -8.860  -83.250    0.000  257.830  165.301  -95.831   76.764  383.821  307.057    0.200     -999  383.821    0.000  383.821   -7.520   -8.860     -999   -8.860   71.900    1.600    1.600  321.000    0.000    0.000    0.000    0.000    0.000    0.000    6.671    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T06:00:00   24.391  -63.354     -999   -4.270  -83.250    0.000  283.675  184.770 -102.597  214.576 1072.880  858.304    0.200     -999 1072.880    0.000 1072.880   -3.480   -4.270     -999   -4.270   52.100    0.400    0.400  243.000    0.000    0.000    0.000    0.000    0.000    0.000    6.531    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T09:00:00   10.580  -19.027     -999   -6.790  -83.250    0.000  286.759  194.451  -96.192  194.224  971.120  776.896    0.200     -999  971.120    0.000  971.120   -2.470   -6.790     -999   -6.790   59.400    0.400    0.400  197.000    0.000    0.000    0.000    0.000    0.000    0.000    4.978    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T12:00:00    7.569    1.082     -999  -14.770  -83.250    0.000  257.514  184.653  -76.549   95.982  479.912  383.930    0.200     -999  479.912    0.000  479.912   -7.750  -14.770     -999  -14.770   74.100    0.700    0.700  323.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T15:00:00   59.894   11.816     -999  -16.390  -83.250    0.000  244.054  174.330  -73.206    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000   -9.670  -16.390     -999  -16.390   75.400    1.000    1.000  326.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T18:00:00   89.937   12.246     -999  -15.940  -83.250    0.000  242.517  164.388  -81.413    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -11.980  -15.940     -999  -15.940   74.900    1.100    1.100  324.000    0.000    0.000    0.000    0.000    0.000    0.000    2.233    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-05T21:00:00   70.662   -9.351     -999  -15.630  -83.250    0.000  243.983  152.145  -94.877    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -14.630  -15.630     -999  -15.630   74.400    1.200    1.200  324.000    0.000    0.000    0.000    0.000    0.000    0.000    2.316    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-06T00:00:00   76.289   -8.990     -999  -16.280  -83.250    0.000  243.541  151.682  -94.889    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -13.310  -16.280     -999  -16.280   71.300    1.300    1.300  325.000    0.000    0.000    0.000    0.000    0.000    0.000    4.606    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-06T03:00:00   95.393  -12.759     -999   -8.690  -83.250    0.000  254.033  163.975  -93.333   79.779  398.893  319.115    0.200     -999  398.893    0.000  398.893   -7.860   -8.690     -999   -8.690   70.500    1.100    1.100  323.000    0.000    0.000    0.000    0.000    0.000    0.000    6.671    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-06T06:00:00   11.163  -21.276     -999   -4.250  -83.250    0.000  283.879  186.451 -101.153  237.088 1185.440  948.352    0.200     -999 1185.440    0.000 1185.440   -3.710   -4.250     -999   -4.250   61.800    0.200    0.200   69.000    0.000    0.000    0.000    0.000    0.000    0.000    6.531    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-06T09:00:00    3.885  -44.515     -999   -5.750  -83.250    0.000  289.826  195.374  -98.355  247.994 1239.968  991.974    0.200     -999 1239.968    0.000 1239.968   -3.520   -5.750     -999   -5.750   71.000    0.500    0.500   91.000    0.000    0.000    0.000    0.000    0.000    0.000    4.978    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-06T12:00:00   -9.456 -112.572     -999  -12.540 -100.252    0.000  283.283  188.766  -98.288  124.431  474.600  350.169    0.292     -999  474.600    0.000  474.600   -8.410  -12.387     -999  -12.540   92.700    0.800    0.800  345.000    0.235    1.398    0.023    0.000    0.000    1.398    1.398    0.528    0.000   -0.000    0.000    0.000     -999   -0.228   -0.022     -999     -999     -999     -999     -999   -1.000   -1.000    1.398    0.100    1.398    6.000    1.398    6.000    1.398    6.000    0.000    0.000
2024-01-06T15:00:00   39.373   11.414     -999  -12.510   10.922    0.000  236.867  178.588  -61.846    0.000    0.000    0.000    0.300     -999    0.000    0.000    0.000   -9.650  -16.813     -999  -12.510   87.400    0.900    0.900  329.000    0.000    1.532    0.012    0.612    0.000    1.532    1.532    0.579    0.000   -0.000    0.000    0.000     -999    0.051    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    1.532    0.100    1.532    6.000    1.532    6.000    1.532    6.000    0.000    0.000
2024-01-06T18:00:00   72.404   12.683     -999  -12.910    1.346    0.000  251.985  169.083  -86.280    0.000    0.000    0.000    0.300     -999    0.000    0.000    0.000  -10.550  -12.513     -999  -12.910   85.200    1.300    1.300  325.000    0.000    1.646    0.003    1.005    0.000    1.646    1.646    0.623    0.000   -0.000    0.000    0.000     -999    0.043    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    1.646    0.100    1.646    6.000    1.646    6.000    1.646    6.000    0.000    0.000
2024-01-06T21:00:00   96.150   -2.212     -999  -13.280   -1.338    0.000  255.251  165.963  -92.604    0.000    0.000    0.000    0.300     -999    0.000    0.000    0.000  -10.780  -12.639     -999  -13.280   80.300    1.500    1.500  320.000    0.000    1.621   -0.012    0.924    0.000    1.621    1.621    0.614    0.000   -0.000    0.000    0.000     -999   -0.009    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    1.621    0.100    1.621    6.000    1.621    6.000    1.621    6.000    0.000    0.000
2024-01-07T00:00:00  125.663  -27.391     -999  -15.200   -3.371    0.000  256.547  164.942  -94.900    0.000    0.000    0.000    0.300     -999    0.000    0.000    0.000  -11.120  -12.949     -999  -15.200   75.200    1.800    1.800  319.000    0.000    1.316   -0.033    0.000    0.000    1.316    1.316    0.498    0.000   -0.000    0.000    0.000     -999   -0.115    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    1.316    0.100    1.316    6.000    1.316    6.000    1.316    6.000    0.000    0.000
2024-01-07T03:00:00   -1.140 -118.056     -999   -9.170  -83.250    0.000  266.455  165.684 -104.081  124.349  414.496  290.147    0.292     -999  414.496    0.000  414.496   -8.980   -9.170     -999   -9.170   72.900    1.700    1.700  318.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.043     -999   -0.456    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-07T06:00:00  -48.640 -140.999     -999   -3.090  -83.250    0.000  286.408  183.375 -106.696  223.574 1117.869  894.295    0.200     -999 1117.869    0.000 1117.869   -3.970   -3.090     -999   -3.090   59.100    0.800    0.800  282.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-07T09:00:00   10.771  -48.479     -999   -6.860  -83.250    0.000  288.432  193.017  -99.271  195.942  979.711  783.769    0.200     -999  979.711    0.000  979.711   -2.320   -6.860     -999   -6.860   57.100    0.500    0.500  271.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-07T12:00:00   35.667    5.887     -999  -15.080  -83.250    0.000  258.085  185.260  -76.525   95.976  479.882  383.906    0.200     -999  479.882    0.000  479.882   -9.470  -15.080     -999  -15.080   84.600    1.000    1.000  326.000    0.000    0.000    0.000    0.000    0.000    0.000    1.398    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-07T15:00:00  113.454   25.378     -999  -16.760  -83.250    0.000  243.052  169.967  -76.480    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -11.480  -16.760     -999  -16.760   82.000    1.300    1.300  327.000    0.000    0.000    0.000    0.000    0.000    0.000    1.532    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-07T18:00:00  151.702   20.762     -999  -18.230  -83.250    0.000  236.329  157.634  -81.843    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -12.840  -18.230     -999  -18.230   73.900    1.400    1.400  325.000    0.000    0.000    0.000    0.000    0.000    0.000    1.646    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-07T21:00:00  176.129    5.251     -999  -19.020  -83.250    0.000  234.020  146.634  -90.315    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -15.040  -19.020     -999  -19.020   75.400    1.700    1.700  322.000    0.000    0.000    0.000    0.000    0.000    0.000    1.621    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
2024-01-08T00:00:00  138.850    1.474     -999  -18.880  -83.250    0.000  232.006  142.281  -92.568    0.000    0.000    0.000    0.200     -999    0.000    0.000    0.000  -16.620  -18.880     -999  -18.880   74.900    1.400    1.400  325.000    0.000    0.000    0.000    0.000    0.000    0.000    1.316    0.000    0.000   -0.000    0.000    0.000     -999    0.000    0.000     -999     -999     -999     -999     -999   -1.000   -1.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000    6.000    0.000     -999
